GameID,AppID,Name,Playtime (Hours),Release Date,Short Description,Genres,Price (USD),Cover Image Path,Ranking,Cover Path,Release Year,Enjoyment Score,Gameplay Score,Music Score,Narrative Score,MetaCritic Score,Rating Deviation,Enjoyment Order,Gameplay Order,Music Order,Narrative Order,MetaCritic Order
81,506610,Five Nights at Freddy's: Sister Location,0,7-Oct-16,"Welcome to Circus Baby's Pizza World, where family fun and interactivity go beyond anything you've seen at those *other* pizza places! Now hiring: Late night technician. Must enjoy cramped spaces and be comfortable around active machinery. Not responsible for death or dismemberment.","Action, Indie, Simulation",7.99 USD,C:/Users/jakob/Downloads/SteamData\Five Nights at Freddy's Sister Location.png,,,,,,,,,,,,,,
82,655790,Fly Simulator,0.03,16-Jul-17,"You work as a waiter and lead an uphill battle for their clients. You pushing back the flies from the food, otherwise you'll never get anything. Maybe you are a hungry insect trying to increase their population? Choose the opposing side. The war is already underway.","Action, Indie, Simulation",1.99 USD,C:/Users/jakob/Downloads/SteamData\Fly Simulator.png,,,,,,,,,,,,,,
83,527230,For The King,197.4,19-Apr-18,For The King is a strategic RPG that blends tabletop and roguelike elements in a challenging adventure that spans the realms. Set off on a single player experience or play cooperatively both online and locally.,"Adventure, Indie, RPG, Strategy",19.99 USD,C:/Users/jakob/Downloads/SteamData\For The King.png,28,,2018,9,,,,7.9,1.1,27,27,27,27,27
84,1676840,For The King II,118.22,2-Nov-23,"Battle against Fahrul's tyrannical Queen alone or as a party of four players in the sequel to For The King, the massively popular turn-based roguelite tabletop RPG. Will you unravel the once beloved Queen's terrible secret?","Adventure, Indie, RPG, Strategy",24.99 USD,C:/Users/jakob/Downloads/SteamData\For The King II.png,37,,2024,8.5,,,,7.8,0.7,36,36,36,36,36
85,1907700,For The King II Closed Beta,15.23,10-May-23,,,Free or Unknown,C:/Users/jakob/Downloads/SteamData\For The King II Closed Beta.png,,,,,,,,,,,,,,
86,1171320,Frog Detective 3: Corruption at Cowboy County,0.37,26-Oct-22,"You're a detective, and a frog, and it's time to solve a mystery in the wild west.","Adventure, Casual, Indie",4.99 USD,C:/Users/jakob/Downloads/SteamData\Frog Detective 3 Corruption at Cowboy County.png,,,,,,,,,,,,,,
87,212680,FTL: Faster Than Light,341.7,14-Sep-12,"This ""spaceship simulation roguelike-like"" allows you to take your ship and crew on an adventure through a randomly generated galaxy filled with glory and bitter defeat.","Indie, Simulation, Strategy",9.99 USD,C:/Users/jakob/Downloads/SteamData\FTL Faster Than Light.png,8,,2012,9,,,,9,0,7,7,7,7,7
88,4000,Garry's Mod,0.53,29-Nov-06,Garry's Mod is a physics sandbox. There aren't any predefined aims or goals. We give you the tools and leave you to play.,"Casual, Indie, Simulation",4.99 USD,C:/Users/jakob/Downloads/SteamData\Garry's Mod.png,,,,,,,,,,,,,,
89,265930,Goat Simulator,0,1-Apr-14,Goat Simulator is the latest in high-tech Goat Simulation technology.,"Casual, Indie, Simulation",9.99 USD,C:/Users/jakob/Downloads/SteamData\Goat Simulator.png,146,,2014,6.5,,,,,,145,145,145,145,145
90,431240,Golf With Your Friends,15.62,19-May-20,"Why have friends if not to play Golf... With Your Friends! Nothing is out of bounds as you take on courses filled with fast paced, exciting, simultaneous mini golf for up to 12 players!","Casual, Indie, Sports",4.49 USD,C:/Users/jakob/Downloads/SteamData\Golf With Your Friends.png,147,,2016,6.5,,,,,,146,146,146,146,146
91,578620,GORN,33.27,18-Jul-19,"GORN is a ludicrously violent VR gladiator simulator, made by Free Lives, the developers of Broforce and Genital Jousting.","Action, Indie",7.99 USD,C:/Users/jakob/Downloads/SteamData\GORN.png,131,,2019,7,,,,,,130,130,130,130,130
92,950670,Gothic Playable Teaser,0,13-Dec-19,"The Kingdom of Myrtana has been invaded by an implacable horde of orcs. King Rhobar II, in need of a large quantity of magical ore in order to forge powerful weapons, operates the Khorinis mines with all available prisoners.",RPG,Free or Unknown,C:/Users/jakob/Downloads/SteamData\Gothic Playable Teaser.png,,,,,,,,,,,,,,
93,219990,Grim Dawn,27.68,25-Feb-16,"Enter an apocalyptic fantasy world where humanity is on the brink of extinction, iron is valued above gold and trust is hard earned. This ARPG features complex character development, hundreds of unique items, crafting and quests with choice & consequence.","Action, Adventure, Indie, RPG",24.99 USD,C:/Users/jakob/Downloads/SteamData\Grim Dawn.png,132,,2016,7,,,,,,131,131,131,131,131
94,962130,Grounded,26.63,27-Sep-22,"The world is a vast, beautiful and dangerous place – especially when you have been shrunk to the size of an ant. Can you thrive alongside the hordes of giant insects, fighting to survive the perils of the backyard?","Action, Adventure",39.99 USD,C:/Users/jakob/Downloads/SteamData\Grounded.png,64,,2020,8,,,,8.3,-0.3,63,63,63,63,63
95,493520,GTFO,22.42,9-Dec-21,"GTFO is a hardcore cooperative horror shooter that throws you from gripping suspense to explosive action in a heartbeat. Stealth, strategy, and teamwork are necessary to survive in your deadly, underground prison. Work together or die together.",Action,13.99 USD,C:/Users/jakob/Downloads/SteamData\GTFO.png,65,,2019,8,,,,7.8,0.2,64,64,64,64,64
96,365450,Hacknet,0.13,12-Aug-15,"Hacknet is an immersive, terminal-based hacking simulator for PC. Dive down a rabbit hoIe as you follow the instructions of a recently deceased hacker, whose death may not have been the accident the media reports.","Indie, Simulation",9.99 USD,C:/Users/jakob/Downloads/SteamData\Hacknet.png,,,,,,,,,,,,,,
97,1145360,Hades,61.28,17-Sep-20,"Defy the god of the dead as you hack and slash out of the Underworld in this rogue-like dungeon crawler from the creators of Bastion, Transistor, and Pyre.","Action, Indie, RPG",24.99 USD,C:/Users/jakob/Downloads/SteamData\Hades.png,14,,2020,9,,,,9.3,-0.3,13,13,13,13,13
98,1145350,Hades II,104.48,25-Sep-25,Battle beyond the Underworld using dark sorcery to take on the Titan of Time in this bewitching sequel to the award-winning rogue-like dungeon crawler.,"Action, Indie, RPG",29.99 USD,C:/Users/jakob/Downloads/SteamData\Hades II.png,16,,2024,9,,,,9.4,-0.4,15,15,15,15,15
99,546560,Half-Life: Alyx,20.28,23-Mar-20,"Half-Life: Alyx is Valve’s VR return to the Half-Life series. It’s the story of an impossible fight against a vicious alien race known as the Combine, set between the events of Half-Life and Half-Life 2. Playing as Alyx Vance, you are humanity’s only chance for survival.","Action, Adventure",59.99 USD,C:/Users/jakob/Downloads/SteamData\Half-Life Alyx.png,15,,2020,9,,,,9.3,-0.3,14,14,14,14,14
100,657200,Hand Simulator,11.95,18-Jul-17,"There are many different levels where you can play with spinners, plunge into the subtleties of handling weapons, milk a cow, take part in a Mexican duel with your friends, have a good time fishing, play chess or simply chat in an anonymous club.",Simulation,1.99 USD,C:/Users/jakob/Downloads/SteamData\Hand Simulator.png,150,,2017,6,,,,,,149,149,149,149,149
101,1027820,Hand Simulator: Horror,0.58,22-Dec-20,"Fear clouds the mind. Fear paralyzes the body. If your hands are shaking with fear, you will remain in this hell forever.","Action, Adventure, Indie, Massively Multiplayer, Simulation",1.99 USD,C:/Users/jakob/Downloads/SteamData\Hand Simulator Horror.png,,,,,,,,,,,,,,
102,924140,Hand Simulator: Survival,0.25,17-Dec-19,"Wild island. Thirst and hunger. Dangerous animals and insects. The perfect place to test your survival skills, especially if you only have empty hands, especially if it is a hand simulator.","Action, Adventure, Indie, Massively Multiplayer, RPG, Simulation",1.99 USD,C:/Users/jakob/Downloads/SteamData\Hand Simulator Survival.png,,,,,,,,,,,,,,
103,394360,Hearts of Iron IV,29.13,6-Jun-16,"Victory is at your fingertips! Your ability to lead your nation is your supreme weapon, the strategy game Hearts of Iron IV lets you take command of any nation in World War II; the most engaging conflict in world history.","Simulation, Strategy",14.99 USD,C:/Users/jakob/Downloads/SteamData\Hearts of Iron IV.png,99,,2016,7.5,,,,8.3,-0.8,98,98,98,98,98
104,553850,HELLDIVERS™ 2,11.65,8-Feb-24,"The Galaxy’s Last Line of Offence. Enlist in the Helldivers and join the fight for freedom across a hostile galaxy in a fast, frantic, and ferocious third-person shooter.",Action,39.99 USD,C:/Users/jakob/Downloads/SteamData\HELLDIVERS™ 2.png,66,,2024,8,,,,8.2,-0.2,65,65,65,65,65
105,227940,Heroes & Generals,3.92,18-Oct-16,"Shoot, blow sh!t up, fly or bark orders in the ultimate Free-to-Play, large scale, multiplayer, shooter experience. Thousands of players in multiple battles fighting one massive war of nations. The first to capture 15 cities takes the glory.","Action, Free To Play, Indie, Massively Multiplayer, Strategy",Free or Unknown,C:/Users/jakob/Downloads/SteamData\Heroes & Generals.png,,,,,,,,,,,,,,
106,677120,Heroes of Hammerwatch,54.22,1-Mar-18,Heroes of Hammerwatch is a rogue-lite action-adventure. Explore and battle your way through procedurally generated levels on your own or with up to 3 friends.,"Action, Indie, RPG",14.99 USD,C:/Users/jakob/Downloads/SteamData\Heroes of Hammerwatch.png,67,,2018,8,,,,8.5,-0.5,66,66,66,66,66
107,619820,Heroes of Hammerwatch II,12.77,14-Jan-25,"A rogue-lite action-rpg that offers extensive persistent progression. Build your town, upgrade and equip your heroes, before taking on the the ever-changing Dark Citadel - either solo or with a team of friends.","Action, Indie, RPG",19.99 USD,C:/Users/jakob/Downloads/SteamData\Heroes of Hammerwatch II.png,,,,,,,,,,,,,,
108,613100,House Flipper,0.5,17-May-18,"House Flipper is a unique chance to become a one-man renovation crew. Buy, repair and remodel devastated houses. Give them a second life and sell them at a profit!","Indie, Simulation",24.99 USD,C:/Users/jakob/Downloads/SteamData\House Flipper.png,100,,2018,7.5,,,,6.8,0.7,99,99,99,99,99
109,477160,Human Fall Flat,7.87,22-Jul-16,"Human Fall Flat is a hilarious, light-hearted platformer set in floating dreamscapes that can be played solo or with up to 8 players online. Free new levels keep its vibrant community rewarded.","Adventure, Casual, Indie, Simulation",19.99 USD,C:/Users/jakob/Downloads/SteamData\Human Fall Flat.png,68,,2016,8,,,,7,1,67,67,67,67,67
110,594650,Hunt: Showdown 1896,21.03,27-Aug-19,"Hunt: Showdown 1896 is a new era of the addictively unforgiving extraction shooter. In corrupted backwaters lost to history, fight back alone – or with friends – against timeless evil. Twisted monsters and other ruthless Hunters stand between you and your Bounty. Risk everything as Hunt consumes you",Action,29.99 USD,C:/Users/jakob/Downloads/SteamData\Hunt Showdown 1896.png,101,,2018,7.5,,,,8,-0.5,100,100,100,100,100
111,770720,Hunt: Showdown 1896 (Test Server),0,5-Apr-18,,,Free or Unknown,C:/Users/jakob/Downloads/SteamData\Hunt Showdown 1896 (Test Server).png,,,,,,,,,,,,,,
112,733990,I Can't Believe It's Not Gambling GOTY Edition,0.75,11-Dec-17,"Do you love opening loot crates, but hate the tedious gameplay sessions in between? Our marketing department has the game for you! Unbox random items! Get stuff, but not what you really want! Skate legal and ethical lines! Remember kids, its only a video game, so grab your parents credit card!","Casual, Simulation",0.99 USD,C:/Users/jakob/Downloads/SteamData\I Can't Believe It's Not Gambling GOTY Edition.png,,,,,,,,,,,,,,
113,1361000,In Silence,0.85,29-Oct-21,"In Silence is a multiplayer horror game. One player takes on the role of the monster who has hypersensitive hearing abilities and is almost completely blind. The other players(2-6) play as survivors, trying to escape or hunting the monster.",Action,9.99 USD,C:/Users/jakob/Downloads/SteamData\In Silence.png,,,,,,,,,,,,,,
114,242700,Injustice: Gods Among Us Ultimate Edition,0.05,12-Nov-13,"Injustice: Gods Among Us Ultimate Edition enhances the bold new franchise to the fighting game genre from NetherRealm Studios. Featuring six new playable characters, over 30 new skins, and 60 new S.T.A.R. Labs missions, this edition packs a punch.",Action,2.99 USD,C:/Users/jakob/Downloads/SteamData\Injustice Gods Among Us Ultimate Edition.png,,,,,,,,,,,,,,
115,1092790,Inscryption,40.83,19-Oct-21,"Inscryption is an inky black card-based odyssey that blends the deckbuilding roguelike, escape-room style puzzles, and psychological horror into a blood-laced smoothie. Darker still are the secrets inscrybed upon the cards...","Adventure, Indie, Strategy",19.99 USD,C:/Users/jakob/Downloads/SteamData\Inscryption.png,9,,2021,9,,,,8.5,0.5,8,8,8,8,8
116,1987080,Inside the Backrooms,1.55,20-Jun-22,"Inside the Backrooms is a horror multiplayer game mixed with different mechanics that will make you spend an intense night with friends. Explore, think, interact, but be careful, it is rumored that there are several entities wishing to find you...","Adventure, Indie, Early Access",6.99 USD,C:/Users/jakob/Downloads/SteamData\Inside the Backrooms.png,,,,,,,,,,,,,,
117,581320,Insurgency: Sandstorm,12.07,12-Dec-18,"Insurgency: Sandstorm is a team-based, tactical FPS based on lethal close quarters combat and objective-oriented multiplayer gameplay. Experience the intensity of modern combat where skill is rewarded, and teamwork wins the fight.",Action,8.99 USD,C:/Users/jakob/Downloads/SteamData\Insurgency Sandstorm.png,,,,,,,,,,,,,,
118,2307350,Into the Radius 2,1.2,24-Jul-24,"Into the Radius 2 is an immersive VR survival shooter, set in a realm of surreal landscapes and deadly entities known as Pechorsk Anomaly. Arm yourself with realistic weapons and venture deeper into the mysteries that lie within, either solo or with a friend by your side.","Action, Adventure, Indie, Simulation, Early Access",39.99 USD,C:/Users/jakob/Downloads/SteamData\Into the Radius 2.png,,,,,,,,,,,,,,
119,2756920,Keep Driving,15.83,6-Feb-25,"An atmospheric management RPG about life on the open road. Pick up hitchhikers, work odd jobs, customize and repair your car, and map your route across the country. Use upgrades, skills and items to overcome challenges. And remember to take it easy. You’re young. You have time.","Adventure, Casual, Indie, RPG, Simulation",17.99 USD,C:/Users/jakob/Downloads/SteamData\Keep Driving.png,69,,2015,8,,,,8.4,-0.4,68,68,68,68,68
120,233860,Kenshi,57.82,6-Dec-18,"A free-roaming squad based RPG. Focusing on open-ended sandbox gameplay features rather than a linear story. Be a trader, a thief, a rebel, a warlord, an adventurer, a farmer, a slave, or just food for the cannibals. Train your men up from puny victims to master warriors.","Action, Indie, RPG, Simulation, Strategy",29.99 USD,C:/Users/jakob/Downloads/SteamData\Kenshi.png,70,,2018,8,,,,7.5,0.5,69,69,69,69,69
121,220200,Kerbal Space Program,367.13,27-Apr-15,"In Kerbal Space Program, take charge of the space program for the alien race known as the Kerbals. You have access to an array of parts to assemble fully-functional spacecraft that flies (or doesn’t) based on realistic aerodynamic and orbital physics.","Indie, Simulation",9.99 USD,C:/Users/jakob/Downloads/SteamData\Kerbal Space Program.png,7,,2015,9.5,10,,,9,0.5,6,6,6,6,6
122,954850,Kerbal Space Program 2,34.43,24-Feb-23,"Kerbal Space Program 2 is the sequel to the acclaimed space-flight simulation game Kerbal Space Program. Enter the next generation of space adventure with exciting new parts, stunning visuals, fully revamped UI and Map View, and rich new environments to explore.","Indie, Simulation, Early Access",49.99 USD,C:/Users/jakob/Downloads/SteamData\Kerbal Space Program 2.png,,,,,,,,,,,,,,
123,569480,Kingdoms and Castles,27.17,20-Jul-17,"Kingdoms and Castles is a city-building simulation game about growing a kingdom from a tiny hamlet to a sprawling city and imposing castle. Make trade agreements, alliance, and war with neighboring AI controlled kingdoms. Each villager and resource is individually simulated.","Indie, Simulation, Strategy",14.99 USD,C:/Users/jakob/Downloads/SteamData\Kingdoms and Castles.png,102,,2017,7.5,,,,7.1,0.4,101,101,101,101,101
124,824270,KovaaK's,0.9,3-Apr-18,"Master your aim with KovaaK’s, the world’s best aim trainer. With over 200,000 scenarios, playlists and more! Embrace total customization, including a map editor and game physics. More than just a trainer, it’s a dynamic, community-driven platform that elevates your gameplay.","Action, Indie, Simulation",9.99 USD,C:/Users/jakob/Downloads/SteamData\KovaaK's.png,,,,,,,,,,,,,,
125,1966720,Lethal Company,5.47,23-Oct-23,A co-op horror about scavenging at abandoned moons to sell scrap to the Company.,"Action, Adventure, Indie, Early Access",9.99 USD,C:/Users/jakob/Downloads/SteamData\Lethal Company.png,133,,2023,7,,,,,,132,132,132,132,132
126,860510,Little Nightmares II,10.78,10-Feb-21,Little Nightmares II is the second game in a series that has thrilled and captivated millions of players worldwide since 2017. Now it’s your turn to try to survive this critically acclaimed entry in the most charming horror series ever made.,Adventure,29.99 USD,C:/Users/jakob/Downloads/SteamData\Little Nightmares II.png,71,,2021,8,,,,8.2,-0.2,70,70,70,70,70
127,1282730,Loop Hero,60.62,4-Mar-21,"The Lich has thrown the world into a timeless loop and plunged its inhabitants into never ending chaos. Wield an expanding deck of mystical cards to place enemies, buildings, and terrain along each unique expedition loop for the brave hero.","Indie, RPG, Strategy",14.99 USD,C:/Users/jakob/Downloads/SteamData\Loop Hero.png,103,,2020,7.5,,,,8.2,-0.7,102,102,102,102,102
128,234140,Mad Max,0,1-Sep-15,"Play as Mad Max, a reluctant hero and survivor who wants nothing more than to leave the madness behind and find solace.","Action, Adventure",2.99 USD,C:/Users/jakob/Downloads/SteamData\Mad Max.png,,,,,,,,,,,,,,
129,1789480,Marauders,46.78,3-Oct-22,"Marauders is a tactical first-person multiplayer looter shooter set in a sci-fi universe. As a space pirate, work solo, or in a squad with up to 3 other players to navigate a hostile battleground, hunt for loot, craft new weapons and gear, and salvage what you’ll need to survive.","Action, Early Access",29.99 USD,C:/Users/jakob/Downloads/SteamData\Marauders.png,134,,2022,7,,,,,,133,133,133,133,133
130,241930,Middle-earth™: Shadow of Mordor™,0.1,30-Sep-14,"Fight through Mordor and uncover the truth of the spirit that compels you, discover the origins of the Rings of Power, build your legend and ultimately confront the evil of Sauron in this new chronicle of Middle-earth.",,3.99 USD,C:/Users/jakob/Downloads/SteamData\Middle-earth™ Shadow of Mordor™.png,104,,2014,7.5,,,,8.4,-0.9,103,103,103,103,103
131,1672970,Minecraft Dungeons,11.83,22-Sep-21,"Fight your way through an exciting action-adventure game, inspired by classic dungeon crawlers and set in the Minecraft universe!","Action, Adventure, RPG",19.99 USD,C:/Users/jakob/Downloads/SteamData\Minecraft Dungeons.png,,,,,,,,,,,,,,
132,3847130,MISERY Playtest,1.12,,,,,C:/Users/jakob/Downloads/SteamData\MISERY Playtest.png,,,,,,,,,,,,,,
133,1446780,MONSTER HUNTER RISE,8.9,12-Jan-22,"Rise to the challenge and join the hunt! In Monster Hunter Rise, the latest installment in the award-winning and top-selling Monster Hunter series, you’ll become a hunter, explore brand new maps and use a variety of weapons to take down fearsome monsters as part of an all-new storyline.",Action,39.99 USD,C:/Users/jakob/Downloads/SteamData\MONSTER HUNTER RISE.png,151,,2021,6,,,,,,150,150,150,150,150
134,629760,MORDHAU,19.87,29-Apr-19,"MORDHAU is a multiplayer medieval slasher. Create your mercenary and fight in brutal battles where you will experience fast paced combat, castle sieges, cavalry charges, and more.","Action, Indie",29.99 USD,C:/Users/jakob/Downloads/SteamData\MORDHAU.png,,,,,,,,,,,,,,
135,261550,Mount & Blade II: Bannerlord,264.62,25-Oct-22,"A strategy/action RPG. Create a character, engage in diplomacy, craft, trade and conquer new lands in a vast medieval sandbox. Raise armies to lead into battle and command and fight alongside your troops in massive real-time battles using a deep but intuitive skill-based combat system.","Action, Indie, RPG, Simulation, Strategy",24.99 USD,C:/Users/jakob/Downloads/SteamData\Mount & Blade II Bannerlord.png,38,,2020,8.5,,,,7.7,0.8,37,37,37,37,37
136,1625450,Muck,8.78,5-Jun-21,"Muck is a survival-roguelike. Collect resources, find items & build a base to survive for as long as you can.","Action, Adventure, Free To Play, Indie",Free or Unknown,C:/Users/jakob/Downloads/SteamData\Muck.png,,,,,,,,,,,,,,
137,3247750,Mycopunk,2.72,10-Jul-25,"Cut through fungal aliens in this hyper-customizable, mission based looter shooter. Hundreds of hand-crafted upgrades, 4-player co-op, and a little roach man. What’s not to love?","Action, Indie, Early Access",14.99 USD,C:/Users/jakob/Downloads/SteamData\Mycopunk.png,,,,,,,,,,,,,,
138,370240,NBA 2K16,115.63,29-Sep-15,"NBA 2K is back with the most true-to-life NBA experience to date with NBA 2K16. Featuring an all-new MyCAREER experience written, directed & produced by acclaimed filmmaker Spike Lee. ",Sports,Free or Unknown,C:/Users/jakob/Downloads/SteamData\NBA 2K16.png,,,,,,,,,,,,,,
139,841370,NBA 2K19,2.13,10-Sep-18,NBA 2K celebrates 20 years of redefining what sports gaming can be. NBA 2K19 continues to push limits as it brings gaming one step closer to real-life basketball excitement and culture.,"Simulation, Sports",Free or Unknown,C:/Users/jakob/Downloads/SteamData\NBA 2K19.png,152,,2018,6,,,,,,151,151,151,151,151
140,1169040,Necesse,7.3,16-Oct-25,"Build, quest, and conquer across an infinite procedurally generated world. Play alone or with friends as you establish a settlement and explore deep dungeons, fight monsters and bosses, mine rare ores, craft magical equipment, recruit specialists for your colony, and more!","Action, Adventure, Indie, RPG",9.74 USD,C:/Users/jakob/Downloads/SteamData\Necesse.png,135,,2014,7,,,,,,134,134,134,134,134
141,1063730,New World: Aeternum,8.78,28-Sep-21,Experience a thrilling action RPG set on the supernatural island of Aeternum. Forge your destiny on an adventure filled with danger and opportunity.,"Action, Adventure, Massively Multiplayer, RPG",59.99 USD,C:/Users/jakob/Downloads/SteamData\New World Aeternum.png,148,,2021,6.5,,,,,,147,147,147,147,147
142,275850,No Man's Sky,136.73,12-Aug-16,No Man's Sky is a game about exploration and survival in an infinite procedurally generated universe.,"Action, Adventure",59.99 USD,C:/Users/jakob/Downloads/SteamData\No Man's Sky.png,59,,2016,8,,,,8.3,-0.3,58,58,58,58,58
143,1432050,Nobody Saves the World,0.72,18-Jan-22,"Transform from a featureless nobody into a SLUG, a GHOST and a DRAGON in this new take on Action RPGs from the creators of Guacamelee! Discover 15+ distinct Forms, mix-and-match their abilities, clear evolving dungeons and... SAVE THE WORLD!?","Action, Adventure, Indie, RPG",24.99 USD,C:/Users/jakob/Downloads/SteamData\Nobody Saves the World.png,,,,,,,,,,,,,,
144,466560,Northgard,28.6,7-Mar-18,"Northgard is a critically acclaimed strategy game based on Norse mythology. Lead your clan, uncover the secrets of a mysterious newfound continent and defeat your enemies to conquer the Throne!","Adventure, Indie, Simulation, Strategy",34.99 USD,C:/Users/jakob/Downloads/SteamData\Northgard.png,,,,,,,,,,,,,,
145,3191030,Nubby's Number Factory,39.15,7-Mar-25,"A plinko-style roguelike where you work at a number factory. Launch your spherical friend, Nubby, down a pegboard to make bigger and bigger numbers! But beware, if you fail to meet your number quota, the sun will explode.",Strategy,4.99 USD,C:/Users/jakob/Downloads/SteamData\Nubby's Number Factory.png,105,,2024,7.5,,,,8.5,-1,104,104,104,104,104
146,2909110,Nuclear Nightmare,2.95,20-Oct-24,"Venture forth as part of a specialized team of fellow players tasked with retrieving classified materials, evading the black goo virus, and the nightmarish entities it has spawned. With time running out before the US government initiates a devastating nuclear strike to contain the spreading menace.","Action, Adventure, Indie, Early Access",6.99 USD,C:/Users/jakob/Downloads/SteamData\Nuclear Nightmare.png,,,,,,,,,,,,,,
147,402710,Osiris: New Dawn,35.78,18-Jan-23,"Osiris: New Dawn is an unforgiving near future space survival game with a cinematic feel and elements of horror. Play as a Mission Specialist in single or multiplayer to build your planetary base, pilotable vehicles, and controllable drones as you explore a dangerous solar system far from Earth.","Action, Adventure, Indie, RPG",Free or Unknown,C:/Users/jakob/Downloads/SteamData\Osiris New Dawn.png,136,,2016,7,,,,,,135,135,135,135,135
148,753640,Outer Wilds,21.38,18-Jun-20,"Named Game of the Year 2019 by Giant Bomb, Polygon, Eurogamer, and The Guardian, Outer Wilds is a critically-acclaimed and award-winning open world mystery about a solar system trapped in an endless time loop.","Action, Adventure",14.99 USD,C:/Users/jakob/Downloads/SteamData\Outer Wilds.png,1,,2019,10,10,10,10,8.5,1.5,0,0,0,0,0
149,794260,Outward,22.77,17-May-22,"No remarkable journey is achieved without great effort. In Outward, the cold of the night or an infected wound can be as dangerous as a predator lurking in the dark. Explore the vast world of Aurai solo or in Co-op. The Definitive Edition features both DLCs and quality of life improvements.",RPG,39.99 USD,C:/Users/jakob/Downloads/SteamData\Outward.png,73,,2019,8,,,,6.9,1.1,72,72,72,72,72
150,448510,Overcooked,0.32,3-Aug-16,"Overcooked is a chaotic couch co-op cooking game for one to four players. Working as a team, you and your fellow chefs must prepare, cook and serve up a variety of tasty orders before the baying customers storm out in a huff.","Action, Casual, Indie, Simulation",16.99 USD,C:/Users/jakob/Downloads/SteamData\Overcooked.png,,,,,,,,,,,,,,
151,457140,Oxygen Not Included,11.12,30-Jul-19,"Oxygen Not Included is a space-colony simulation game. Deep inside an alien space rock your industrious crew will need to master science, overcome strange new lifeforms, and harness incredible space tech to survive, and possibly, thrive.","Indie, Simulation",7.49 USD,C:/Users/jakob/Downloads/SteamData\Oxygen Not Included.png,,,,,,,,,,,,,,
152,1458140,Pacific Drive,9.02,21-Feb-24,"Face the supernatural dangers of the Olympic Exclusion Zone with a car as your only lifeline in this driving survival adventure! Scavenge resources, load up your trusty station wagon, and drive like hell to make it through alive.","Action, Adventure, Indie, Racing, Simulation",11.99 USD,C:/Users/jakob/Downloads/SteamData\Pacific Drive.png,106,,2024,7.5,,,,7.9,-0.4,105,105,105,105,105
153,1623730,Palworld,84.13,18-Jan-24,"Fight, farm, build and work alongside mysterious creatures called ""Pals"" in this completely new multiplayer, open world survival and crafting game!","Action, Adventure, Indie, RPG, Early Access",29.99 USD,C:/Users/jakob/Downloads/SteamData\Palworld.png,107,,2024,7.5,,,,-,,106,106,106,106,106
154,467660,Paranormal Activity: The Lost Soul,6.85,15-Aug-17,"AVAILABLE TO PLAY IN NON-VR (KEYBOARD/MOUSE AND CONTROLLER) VR HEADSET NO LONGER REQUIRED.“PARANORMAL ACTIVITY: THE LOST SOUL” immerses you in a terrifying realistic environment with haunting atmosphere, and the need to survive.","Adventure, RPG",19.99 USD,C:/Users/jakob/Downloads/SteamData\Paranormal Activity The Lost Soul.png,,,,,,,,,,,,,,
155,555160,Pavlov VR,24.6,4-Dec-24,Pavlov vr is a multiplayer shooter in VR with heavy focus on community features. Realistic reloading features and fast paced combat as part of the core experience. Play the #1 most popular VR shooter on PC today.,"Action, Indie",24.99 USD,C:/Users/jakob/Downloads/SteamData\Pavlov VR.png,39,,2017,8.5,,,,-,,38,38,38,38,38
156,218620,PAYDAY 2,0.38,13-Aug-13,"PAYDAY 2 is an action-packed, four-player co-op shooter that once again lets gamers don the masks of the original PAYDAY crew - Dallas, Hoxton, Wolf and Chains - as they descend on Washington DC for an epic crime spree.","Action, RPG",4.99 USD,C:/Users/jakob/Downloads/SteamData\PAYDAY 2.png,,,,,,,,,,,,,,
157,3527290,PEAK,16.83,16-Jun-25,"PEAK is a co-op climbing game where the slightest mistake can spell your doom. Either solo or as a group of lost nature scouts, your only hope of rescue from a mysterious island is to scale the mountain at its center. Do you have what it takes to reach the PEAK?","Action, Adventure, Indie",7.99 USD,C:/Users/jakob/Downloads/SteamData\PEAK.png,,,,,,,,,,,,,,
158,493340,Planet Coaster,42.77,17-Nov-16,"Planet Coaster® - the future of coaster park simulation games has arrived! Surprise, delight and thrill incredible crowds as you build your coaster park empire - let your imagination run wild, and share your success with the world.","Action, Adventure, Casual, Simulation, Strategy",11.24 USD,C:/Users/jakob/Downloads/SteamData\Planet Coaster.png,,,,,,,,,,,,,,
159,1599600,PlateUp!,9.43,4-Aug-22,"Cook and serve your dishes, design and decorate your restaurants, and expand your culinary kingdom with new unlocks, abilities and dishes in procedurally-generated locations. Classic cooking action with permanent roguelite progression. Hire your friends - or do it all yourself!","Action, Casual, Indie, Strategy",19.99 USD,C:/Users/jakob/Downloads/SteamData\PlateUp!.png,137,,2022,7,,,,,,136,136,136,136,136
160,539470,Police Stories,6.98,19-Sep-19,"A fresh take on top-down shooters with an emphasis on tactics that forces you to make split second decisions. Neutralize criminals, rescue civilians and defuse bombs in Single Player mode or Co-op. And remember - shooting first is not an option!","Action, Indie, Simulation, Strategy",19.99 USD,C:/Users/jakob/Downloads/SteamData\Police Stories.png,,,,,,,,,,,,,,
